"CUST_ANAME","ITEM_NO","ITEM_NAME","MODEL","PRICE"
"IGCE","898482-3840","BRAKE ASSY RRr LH (STD)","VD00-HR","1687.54"
"IGCE","898482-3830","BRAKE ASSY RRr RH (STD)","VD00-HR","1647.02"
"IGCE","898482-3770","BRAKE ASSY FRr LH (STD)","VD00-HR","1085.22"
"IGCE","898482-3710","BRAKE ASSY FRr RH (STD)","VD00-HR","1085.22"
"IGCE","898315-7373","BRAKE ASSY ; REAR,F","VD00","4610.58"
"IGCE","898315-7353","BRAKE ASM;REAR,R (STD)","VD00","4610.58"
"IGCE","898315-7333","BRAKE ASSY ; REAR,F","VD00","4562.41"
"IGCE","898315-7313","BRAKE ASSY ; REAR,F","VD00","4477.55"
"IGCE","898315-7293","BRAKE ASM;REAR,R (STD)","VD00","4477.55"
"IGCE","898315-7273","BRAKE ASSY ; REAR,F","VD00","4562.41"
"IGCE","898315-7062","BRAKE ASSY ; REAR,F","VD00","3900.40"
"IGCE","898315-7052","BRAKE ASM;FRONT (STD)","VD00","3907.10"
"IGCE","898315-7033","BRAKE ASSY ; REAR,F","VD00","4106.20"
"IGCE","898315-7023","BRAKE ASM;REAR,F (ABS)","VD00","4106.20"
"IGCE","898315-6993","BRAKE ASM;REAR,F (STD)","VD00","4099.50"
"IGCE","898315-6983","BRAKE ASM;REAR,F (STD)","VD00","4099.50"
"IGCE","898315-3733","BRAKE ASSY ; REAR,F","VD00","3531.95"
"IGCE","898315-3723","BRAKE ASSY ; REAR,F","VD00","3531.95"
"IGCE","898315-3693","BRAKE ASM;FRONT (ABS)","VD00","3531.95"
"IGCE","898315-3683","BRAKE ASM;FRONT (ABS)","VD00","3531.95"
"IGCE","897485-4160","BRAKE ASSY Ft RH (STD)","VD00-HR","1576.41"
"IGCE","897485-4150","BRAKE ASSY Ft RH (STD)","VD00-HR","1576.41"
"IMCT","897948-3490","BRAKE ASSY ; REAR,F","700P","3112.50"
"IMCT","897948-3480","BRAKE ASSY ; REAR,F","700P","3112.50"
"IMCT","897948-3470","BRAKE ASSY ; REAR,F","700P","3112.50"
"IMCT","897948-3460","BRAKE ASSY ; REAR,F","700P","3112.50"
"IMCT","897948-3450","BRAKE ASSY ; REAR,F","700P","3224.14"
"IMCT","897948-3440","BRAKE ASSY ; REAR,F","700P","3224.14"
"IMCT","897948-3370","BRAKE ASSY","700P","3224.14"
"IMCT","897948-3360","BRAKE ASSY","700P","3224.14"
"IMCT","897948-3290","BRAKE ASSY ; FRONT","700P","2799.78"
"IMCT","897948-3280","BRAKE ASSY ; FRONT","700P","2799.78"
"IMCT","897948-3270","BRAKE ASSY ; FRONT","700P","2799.78"
"IMCT","897948-3260","BRAKE ASSY ; FRONT","700P","2799.78"
"IMCT","897948-3250","BRAKE ASSY ; REAR,F","700P","2799.78"
"IMCT","897948-3240","BRAKE ASSY ; REAR,F","700P","2799.78"
"IMCT","897481-0260","BRAKE ASM; REAR FOR HEAVY DUTY,RH","700P","3112.50"
"IMCT","897481-0250","BRAKE ASM; REAR FOR HEAVY DUTY,LH","700P","3112.50"